order_id,store_id,product_id,quantity,sale_date
11,15,156,6,2024-05-09 00:39:00
11,41,874,4,2024-06-22 07:57:00
11,46,331,1,2024-08-09 22:33:00
11,25,770,6,2024-08-27 12:48:00
11,38,590,4,2024-12-04 19:28:00
12,15,298,4,2023-01-19 21:47:00
12,29,598,5,2023-08-11 15:30:00
12,86,999,6,2024-02-19 04:37:00
12,6,893,10,2024-09-05 02:45:00
12,77,674,6,2024-11-04 23:04:00
13,8,107,8,2023-02-17 05:03:00
13,52,888,2,2023-02-24 17:13:00
13,79,940,8,2023-05-16 11:06:00
13,44,50,8,2023-06-27 10:44:00
13,28,510,1,2023-07-22 09:17:00
13,37,131,9,2023-07-24 02:07:00
13,25,438,10,2023-07-28 20:24:00
13,7,927,10,2023-12-15 12:55:00
13,90,550,7,2024-09-15 18:03:00
13,13,436,6,2024-11-11 22:48:00
14,36,310,8,2023-03-01 04:23:00
14,15,777,1,2023-08-31 19:16:00
14,30,877,4,2023-10-25 22:54:00
14,8,49,1,2023-11-29 05:38:00
14,89,136,5,2023-11-30 13:19:00
14,32,566,5,2024-09-19 09:07:00
14,15,416,8,2024-09-25 23:58:00
14,44,280,5,2024-10-03 01:57:00
15,81,824,7,2023-04-01 21:02:00
15,12,330,8,2023-05-11 15:10:00
15,86,611,2,2024-05-20 19:24:00
15,51,763,9,2024-06-18 12:05:00
16,65,796,6,2023-02-01 09:38:00
16,81,980,7,2023-03-26 15:19:00
16,6,641,7,2023-04-01 07:23:00
16,49,129,10,2023-08-29 09:10:00
16,38,954,2,2023-10-07 15:14:00
16,57,946,9,2023-11-17 21:06:00
16,73,505,10,2023-12-22 23:36:00
16,97,794,10,2024-02-21 03:27:00
16,34,273,9,2024-05-31 00:50:00
16,61,583,9,2024-06-14 21:07:00
16,20,813,1,2024-08-01 00:20:00
16,67,312,3,2024-08-11 10:45:00
16,37,722,3,2024-12-25 13:29:00
17,28,260,8,2024-09-07 05:29:00
18,26,354,9,2023-02-12 09:35:00
18,77,849,1,2023-03-23 03:16:00
18,6,372,5,2023-06-11 04:03:00
18,30,116,1,2023-06-25 21:56:00
18,81,842,8,2023-09-21 23:26:00
18,99,702,9,2023-10-16 13:37:00
18,40,917,3,2023-10-23 09:30:00
18,19,719,4,2024-05-28 04:37:00
18,56,138,1,2024-07-27 16:24:00
18,40,22,2,2024-12-21 18:48:00
19,88,355,5,2023-02-26 15:51:00
19,71,493,2,2023-04-03 15:33:00
19,98,211,6,2023-07-30 13:14:00
19,54,608,6,2023-10-12 00:52:00
19,83,519,6,2024-04-30 03:33:00
19,26,869,1,2024-05-21 06:55:00
19,12,739,8,2024-05-23 11:36:00
19,39,831,8,2024-07-22 22:10:00
19,6,335,2,2024-08-31 01:34:00
19,63,910,10,2024-10-31 19:11:00
20,38,282,10,2023-01-03 11:01:00
20,41,336,1,2023-05-06 16:11:00
20,59,843,10,2024-02-29 15:13:00
20,15,417,1,2024-03-22 04:03:00
20,98,320,8,2024-06-11 10:01:00
20,3,989,6,2024-06-14 09:04:00
21,50,415,7,2024-11-24 16:42:00
22,97,698,6,2023-01-28 04:53:00
22,72,389,10,2023-07-23 13:23:00
22,55,885,10,2024-01-17 20:31:00
22,32,406,3,2024-02-17 07:08:00
22,89,598,6,2024-05-17 20:49:00
22,56,371,8,2024-09-29 01:59:00
23,82,112,8,2023-04-17 20:36:00
23,30,801,8,2023-11-17 19:13:00
23,80,178,8,2023-12-05 02:04:00
23,68,259,5,2024-01-13 03:12:00
23,73,784,4,2024-02-27 11:04:00
23,21,761,4,2024-03-05 09:35:00
23,16,407,10,2024-03-23 04:01:00
23,13,534,9,2024-03-25 14:40:00
23,33,583,2,2024-05-06 23:27:00
23,1,405,6,2024-05-14 19:32:00
23,9,587,5,2024-07-04 16:40:00
23,99,41,4,2024-09-26 12:10:00
23,99,185,5,2024-11-25 15:58:00
24,30,104,10,2023-01-01 09:28:00
24,40,216,10,2023-01-23 11:37:00
24,62,956,1,2023-06-25 19:24:00
24,33,779,10,2023-12-17 06:25:00
24,58,822,4,2024-01-09 09:44:00
24,27,416,10,2024-02-05 01:08:00
24,31,57,9,2024-02-17 21:41:00
24,36,877,9,2024-05-01 11:34:00
24,98,410,10,2024-06-26 13:09:00
24,99,24,2,2024-09-03 16:40:00
24,47,987,8,2024-11-16 12:39:00
24,19,695,1,2024-12-17 19:04:00
25,28,263,5,2023-05-08 22:23:00
25,28,587,1,2024-05-07 22:24:00
25,28,142,6,2024-12-28 16:07:00
26,59,130,2,2023-02-08 14:39:00
26,26,518,1,2023-03-21 15:24:00
26,13,163,7,2023-04-24 20:55:00
26,99,683,10,2023-09-24 20:50:00
26,2,311,7,2023-12-07 16:25:00
26,86,419,8,2024-01-09 19:32:00
26,10,386,1,2024-02-28 04:26:00
26,54,854,9,2024-06-26 09:54:00
26,76,816,9,2024-09-30 17:17:00
26,60,17,9,2024-11-08 19:17:00
26,68,966,4,2024-12-02 09:48:00
27,81,148,7,2023-01-05 05:01:00
27,8,415,2,2024-06-27 08:56:00
27,31,457,5,2024-10-04 13:40:00
27,43,197,10,2024-10-11 07:56:00
27,4,797,3,2024-11-26 20:17:00
27,96,647,8,2024-12-14 19:58:00
28,94,164,3,2023-02-15 04:12:00
28,76,289,3,2024-12-16 04:16:00
29,14,154,1,2023-03-10 07:12:00
29,6,318,1,2023-06-13 14:23:00
29,74,41,3,2024-01-22 10:07:00
29,30,507,9,2024-11-07 22:58:00
30,47,85,2,2023-06-08 04:06:00
31,27,412,6,2023-02-15 20:22:00
31,23,258,8,2023-05-25 22:46:00
31,33,4,1,2023-12-27 13:43:00
31,48,558,10,2024-10-08 09:05:00
32,23,407,6,2024-12-22 01:56:00
33,64,91,7,2024-09-09 09:24:00
33,7,647,2,2024-12-20 17:57:00
34,19,278,4,2023-04-08 18:51:00
34,80,678,1,2023-08-21 20:00:00
34,28,881,10,2023-10-02 05:10:00
34,37,978,10,2023-10-22 19:41:00
34,43,41,10,2023-11-02 13:51:00
34,12,136,1,2024-05-02 10:25:00
34,44,682,5,2024-08-01 11:29:00
34,87,749,9,2024-12-11 01:09:00
35,19,966,10,2023-03-20 08:13:00
36,91,604,6,2023-06-15 07:24:00
36,60,213,4,2023-08-30 10:36:00
36,11,583,1,2023-09-16 20:41:00
36,91,218,6,2023-09-28 03:45:00
36,49,138,7,2023-11-16 04:48:00
36,34,348,7,2023-12-12 06:07:00
36,90,309,1,2024-01-03 17:37:00
36,25,762,2,2024-02-14 12:03:00
36,1,834,7,2024-03-27 12:48:00
36,16,737,9,2024-10-24 23:58:00
37,91,694,5,2023-04-18 14:07:00
37,59,262,9,2024-02-09 21:01:00
37,60,939,8,2024-03-19 10:09:00
37,72,286,2,2024-07-11 11:22:00
37,75,71,1,2024-09-02 09:22:00
38,55,570,6,2023-05-15 01:00:00
38,76,427,8,2023-05-26 16:22:00
38,55,610,8,2023-07-05 00:52:00
38,75,933,7,2023-12-04 22:00:00
38,81,623,7,2023-12-11 00:11:00
38,54,425,5,2024-11-25 18:31:00
38,36,393,7,2024-12-31 04:39:00
39,27,726,8,2023-06-30 21:36:00
39,61,878,1,2023-08-07 18:50:00
39,32,765,6,2024-08-01 01:02:00
40,10,669,2,2023-01-21 05:41:00
40,93,710,9,2023-04-07 18:22:00
40,37,334,5,2023-04-22 19:00:00
40,95,342,10,2023-05-08 15:32:00
40,54,352,9,2023-09-04 09:45:00
40,92,993,9,2023-11-29 22:36:00
40,91,443,9,2024-07-01 01:50:00
40,18,713,7,2024-08-02 23:06:00
40,24,10,1,2024-09-28 00:27:00
40,8,525,9,2024-11-22 18:24:00
40,11,446,1,2024-12-03 01:37:00
41,69,595,9,2023-01-07 22:30:00
41,4,43,9,2023-10-03 09:05:00
41,69,697,6,2023-12-07 12:21:00
41,29,836,6,2024-01-14 00:00:00
41,95,980,9,2024-01-20 18:53:00
41,36,177,7,2024-02-12 22:33:00
41,10,165,9,2024-04-30 04:58:00
41,4,403,2,2024-07-08 05:56:00
42,92,285,2,2024-04-29 17:07:00
42,82,180,3,2024-11-25 06:55:00
43,45,770,4,2023-01-23 11:57:00
43,75,269,1,2023-09-07 04:15:00
43,77,111,2,2023-11-28 00:19:00
43,83,347,9,2024-01-17 06:55:00
43,35,574,8,2024-03-18 07:42:00
43,86,881,2,2024-10-10 17:24:00
43,8,783,4,2024-10-13 06:53:00
43,45,860,5,2024-11-28 13:34:00
43,89,494,6,2024-12-21 03:29:00
44,74,873,4,2023-05-04 03:23:00
44,21,568,1,2024-07-26 18:26:00
44,7,940,8,2024-08-01 04:40:00
44,51,784,2,2024-10-06 01:20:00
45,74,951,4,2023-07-06 14:50:00
46,9,409,5,2023-01-02 17:57:00
46,79,870,6,2023-01-04 06:53:00
46,95,599,6,2023-07-15 05:31:00
46,18,24,9,2023-09-03 17:53:00
46,6,377,4,2023-09-15 06:07:00
46,79,918,1,2023-12-04 20:07:00
46,54,454,5,2024-02-01 02:43:00
46,10,92,4,2024-03-03 03:00:00
46,79,953,2,2024-06-22 21:56:00
46,57,577,9,2024-08-02 21:36:00
46,34,860,10,2024-09-07 22:12:00
46,72,600,3,2024-11-09 09:00:00
47,66,84,6,2023-03-18 14:39:00
47,30,71,8,2023-03-31 17:43:00
47,27,734,3,2023-05-24 05:14:00
47,3,500,5,2023-12-26 18:16:00
47,62,294,10,2024-01-20 08:42:00
47,8,329,1,2024-02-25 17:43:00
47,89,638,10,2024-06-28 21:44:00
47,67,233,10,2024-08-08 21:35:00
47,35,302,3,2024-10-02 09:17:00
48,74,787,5,2023-05-17 20:48:00
48,62,210,5,2023-10-06 16:17:00
48,90,99,4,2024-02-09 08:31:00
48,84,79,3,2024-08-24 07:32:00
48,45,326,3,2024-08-31 10:44:00
49,56,227,4,2023-01-28 09:57:00
49,86,78,2,2023-05-16 15:10:00
49,56,468,7,2023-05-17 06:37:00
49,11,76,8,2023-07-29 02:18:00
49,89,938,2,2023-11-12 18:31:00
49,10,213,5,2023-12-18 02:53:00
49,16,863,8,2024-06-19 20:55:00
49,77,286,4,2024-07-17 02:24:00
49,13,637,3,2024-11-22 21:51:00
50,51,940,4,2023-03-17 00:07:00
50,37,240,9,2023-08-24 16:37:00
50,54,783,3,2023-10-17 11:50:00
51,29,824,6,2023-02-01 06:59:00
51,83,886,9,2023-05-05 08:18:00
51,2,414,8,2023-11-19 05:51:00
51,27,910,7,2024-01-27 18:58:00
51,9,505,2,2024-03-17 01:34:00
51,3,988,4,2024-05-22 16:43:00
51,36,701,2,2024-12-10 11:44:00
51,7,13,6,2024-12-14 20:01:00
52,33,159,1,2023-04-14 17:11:00
52,73,910,4,2023-05-13 19:23:00
52,73,594,4,2023-06-22 09:56:00
52,72,23,10,2024-08-01 04:39:00
52,5,646,7,2024-08-29 15:31:00
52,33,377,9,2024-10-27 02:27:00
52,60,268,8,2024-11-15 21:16:00
53,65,250,5,2024-12-22 05:40:00
54,29,550,8,2023-03-13 11:16:00
54,89,209,1,2023-07-09 22:41:00
54,92,533,5,2023-12-17 11:58:00
54,49,631,1,2024-02-20 20:17:00
54,72,561,7,2024-03-11 06:37:00
55,46,524,3,2023-03-11 09:10:00
55,43,842,2,2023-04-06 14:45:00
55,23,828,7,2023-07-05 04:54:00
55,23,263,3,2023-12-23 16:19:00
55,43,633,6,2024-01-22 19:23:00
55,28,811,1,2024-03-21 05:56:00
55,47,19,6,2024-06-24 23:40:00
55,27,337,4,2024-09-13 05:08:00
55,51,621,8,2024-09-15 23:24:00
56,1,877,8,2023-01-01 14:03:00
56,54,811,8,2023-07-16 08:20:00
56,85,695,5,2023-08-04 01:21:00
56,11,961,4,2023-09-15 07:32:00
56,40,396,5,2023-12-02 07:41:00
56,29,48,6,2023-12-12 16:28:00
56,48,691,9,2024-01-14 22:06:00
56,91,78,8,2024-05-17 01:42:00
56,46,259,1,2024-11-27 10:24:00
57,88,830,10,2023-07-12 21:34:00
57,52,570,8,2024-05-26 08:49:00
57,64,515,8,2024-07-06 01:43:00
58,25,568,10,2023-01-19 22:29:00
58,28,561,5,2023-03-21 20:07:00
58,92,686,6,2023-04-22 00:47:00
58,81,781,4,2023-05-29 10:26:00
58,74,297,3,2023-08-14 06:14:00
58,91,180,3,2023-10-14 02:50:00
58,86,843,6,2023-12-06 08:35:00
58,99,886,6,2024-01-29 21:06:00
58,5,885,6,2024-02-26 06:45:00
58,63,185,3,2024-06-15 09:46:00
58,35,441,3,2024-07-06 07:18:00
58,20,175,2,2024-12-08 20:19:00
58,44,966,1,2024-12-18 20:05:00
59,17,694,7,2023-02-13 12:49:00
59,27,299,8,2023-09-07 18:50:00
59,44,692,1,2023-12-01 17:34:00
59,54,49,10,2024-01-18 16:54:00
59,59,933,7,2024-02-19 23:52:00
59,74,177,2,2024-03-21 04:38:00
59,5,291,3,2024-04-20 15:06:00
59,40,223,9,2024-07-16 06:45:00
60,40,657,10,2023-02-22 22:00:00
60,68,86,5,2023-04-29 18:53:00
60,80,648,3,2023-11-02 09:46:00
60,13,567,6,2024-03-08 16:09:00
60,29,75,10,2024-06-01 18:38:00
60,28,49,2,2024-06-27 09:06:00
61,74,817,7,2023-02-13 07:41:00
61,14,695,9,2024-01-20 15:38:00
61,39,912,5,2024-04-03 21:23:00
61,30,952,5,2024-06-10 13:34:00
61,80,971,6,2024-08-10 00:37:00
62,3,554,9,2023-02-27 05:26:00
62,50,851,9,2023-07-12 18:41:00
62,69,311,10,2023-07-23 17:49:00
62,77,970,3,2023-11-06 20:20:00
62,89,352,7,2023-12-09 03:15:00
62,68,893,1,2024-01-18 15:09:00
62,91,87,8,2024-02-02 11:33:00
63,76,886,5,2023-03-27 05:35:00
63,19,362,9,2023-06-22 09:38:00
63,48,459,9,2023-08-25 07:37:00
63,48,309,8,2024-10-22 23:49:00
63,80,790,8,2024-11-08 09:21:00
64,79,110,2,2023-01-02 12:00:00
64,85,329,1,2023-10-03 04:23:00
65,31,601,2,2023-01-22 20:17:00
65,3,690,5,2023-02-01 11:48:00
65,55,858,2,2023-04-27 06:34:00
65,5,153,5,2023-05-14 20:21:00
65,36,871,8,2023-07-19 22:39:00
65,7,825,4,2023-07-23 12:55:00
65,82,115,8,2024-01-16 09:08:00
65,83,125,10,2024-06-26 00:13:00
65,90,319,4,2024-09-22 17:19:00
66,80,523,6,2023-02-09 12:53:00
66,76,863,7,2023-03-21 01:52:00
66,29,74,3,2023-05-12 13:57:00
66,50,274,5,2023-05-23 00:54:00
66,93,691,5,2023-06-22 14:53:00
66,15,490,7,2023-07-02 13:23:00
66,15,183,7,2024-01-23 10:29:00
66,31,445,7,2024-01-26 12:40:00
66,50,17,7,2024-05-08 04:09:00
66,84,133,1,2024-06-28 19:07:00
66,86,931,4,2024-10-26 19:52:00
66,84,957,9,2024-11-26 07:31:00
66,63,490,1,2024-12-10 19:36:00
67,9,779,1,2023-05-20 17:43:00
67,8,728,2,2023-07-23 19:43:00
67,49,363,10,2023-08-30 05:22:00
67,29,302,3,2023-12-13 08:39:00
67,88,346,5,2023-12-13 22:39:00
67,6,963,3,2024-02-14 09:07:00
67,35,67,10,2024-02-23 01:19:00
67,90,787,1,2024-04-25 10:49:00
67,10,457,10,2024-08-11 14:19:00
67,70,859,2,2024-10-25 07:10:00
67,98,990,1,2024-11-27 07:58:00
67,19,857,1,2024-12-18 14:03:00
68,88,904,3,2023-07-14 21:07:00
68,32,919,5,2023-09-02 14:04:00
68,9,754,10,2023-12-19 10:38:00
68,66,688,2,2024-01-15 08:43:00
68,73,959,10,2024-05-04 03:32:00
68,20,954,5,2024-08-29 13:12:00
68,22,366,1,2024-09-19 08:21:00
68,92,907,1,2024-12-07 13:00:00
68,98,348,3,2024-12-13 08:07:00
68,45,386,1,2024-12-19 04:03:00
68,82,850,8,2024-12-19 17:17:00
69,20,521,1,2023-05-10 13:27:00
69,86,61,7,2023-09-12 08:18:00
70,64,47,6,2023-06-16 23:07:00
70,63,480,10,2023-09-25 12:28:00
70,45,729,10,2023-12-18 16:30:00
70,42,588,2,2024-04-17 05:17:00
70,93,192,10,2024-04-17 08:27:00
70,90,765,3,2024-07-03 02:19:00
70,15,936,8,2024-08-02 06:53:00
71,38,361,6,2023-04-05 20:52:00
71,50,227,4,2023-06-03 01:04:00
71,17,438,1,2023-08-05 04:58:00
71,69,661,1,2024-01-17 10:57:00
71,40,887,7,2024-03-21 13:32:00
71,67,63,10,2024-08-17 05:19:00
71,93,464,9,2024-08-31 20:48:00
72,7,522,7,2023-05-05 00:58:00
72,62,37,7,2023-05-29 05:37:00
72,24,219,5,2023-08-25 14:15:00
72,90,19,2,2023-10-29 00:06:00
72,62,353,4,2024-02-10 15:33:00
72,17,848,1,2024-04-19 14:52:00
72,14,511,3,2024-11-01 09:10:00
73,23,447,3,2023-01-16 15:04:00
73,9,243,3,2023-04-05 06:26:00
73,76,647,1,2023-04-16 00:16:00
73,31,492,2,2023-07-19 23:04:00
73,28,933,4,2023-07-26 07:07:00
73,92,611,2,2023-09-29 17:11:00
73,25,95,7,2024-03-26 02:46:00
73,26,766,9,2024-06-06 11:59:00
73,70,202,3,2024-07-28 12:19:00
73,22,459,10,2024-09-18 08:33:00
73,41,227,5,2024-10-20 08:47:00
73,90,602,2,2024-11-04 02:22:00
73,69,834,10,2024-12-17 07:04:00
74,75,362,5,2023-03-18 03:20:00
74,80,101,5,2024-03-10 19:39:00
74,7,451,3,2024-07-04 07:08:00
74,25,743,4,2024-10-20 12:26:00
75,49,169,6,2023-01-02 20:35:00
75,48,567,1,2023-06-12 00:56:00
75,36,594,4,2023-11-24 23:55:00
75,18,249,7,2024-02-25 19:00:00
75,69,596,8,2024-04-13 01:35:00
75,74,558,5,2024-06-09 03:41:00
75,44,959,6,2024-06-27 21:17:00
75,29,97,8,2024-08-31 19:28:00
76,36,863,7,2023-01-27 03:43:00
76,17,832,8,2023-03-11 15:31:00
76,79,410,10,2023-03-15 07:57:00
76,94,566,3,2023-05-01 00:39:00
76,64,955,8,2023-05-13 04:31:00
76,26,610,7,2023-06-26 01:38:00
76,9,449,1,2024-02-12 20:41:00
76,58,228,1,2024-03-30 11:32:00
76,81,557,10,2024-09-23 22:54:00
76,70,117,3,2024-10-01 19:46:00
77,43,53,8,2023-01-21 07:17:00
77,40,242,8,2023-05-01 18:04:00
78,16,954,5,2024-10-09 06:19:00
79,69,54,10,2023-10-12 20:37:00
80,14,124,5,2024-12-06 18:35:00
81,52,48,1,2023-04-20 18:19:00
82,18,268,4,2023-02-06 03:10:00
82,64,261,1,2023-05-06 17:33:00
82,62,112,8,2024-04-17 15:32:00
82,17,876,5,2024-07-12 14:44:00
82,26,957,10,2024-09-06 14:12:00
82,1,379,8,2024-10-22 18:33:00
82,98,771,1,2024-10-24 11:41:00
83,8,937,6,2023-01-10 10:43:00
83,33,412,6,2023-05-02 02:49:00
83,6,298,10,2023-08-04 21:45:00
83,90,370,8,2023-10-28 09:44:00
83,41,901,1,2023-12-09 12:59:00
83,30,321,7,2024-01-09 10:43:00
83,48,452,8,2024-07-13 02:54:00
84,2,945,1,2023-01-16 18:11:00
84,59,344,9,2023-01-28 17:36:00
84,91,917,9,2023-08-10 17:01:00
84,5,689,2,2023-11-21 12:03:00
84,42,727,1,2024-05-08 20:00:00
84,51,213,5,2024-08-14 17:08:00
84,92,50,3,2024-10-12 08:52:00
85,98,82,6,2023-02-23 13:52:00
85,23,915,6,2024-02-14 22:56:00
86,36,760,1,2023-04-29 18:18:00
86,79,288,3,2024-01-05 13:22:00
87,23,472,5,2023-06-15 11:29:00
87,93,212,9,2024-11-20 21:48:00
87,5,109,1,2024-12-14 10:46:00
88,36,529,6,2023-01-11 12:50:00
88,4,764,6,2023-03-08 15:08:00
88,43,557,4,2023-03-14 14:29:00
88,83,85,4,2023-05-17 17:48:00
88,71,627,3,2023-05-30 03:22:00
88,31,760,1,2023-07-19 10:52:00
88,75,52,10,2023-10-31 23:50:00
88,30,559,6,2023-12-12 21:12:00
88,7,869,10,2024-04-07 21:44:00
88,1,816,6,2024-05-29 16:07:00
88,53,317,4,2024-11-18 04:32:00
88,21,359,7,2024-11-20 07:43:00
89,17,78,6,2023-06-24 07:44:00
89,72,771,2,2024-05-04 22:11:00
89,78,739,3,2024-09-08 18:29:00
90,21,254,1,2023-01-06 18:20:00
90,78,795,2,2023-01-24 09:20:00
90,22,168,5,2024-01-13 14:01:00
90,46,216,2,2024-01-27 06:11:00
90,52,67,2,2024-06-12 13:58:00
90,66,934,4,2024-07-29 20:07:00
90,63,175,6,2024-09-08 03:14:00
90,53,965,5,2024-09-21 08:52:00
90,13,193,4,2024-10-19 14:14:00
90,53,353,9,2024-11-07 19:37:00
90,35,100,7,2024-12-12 18:44:00
90,26,723,6,2024-12-16 14:08:00
91,53,814,7,2023-04-26 00:58:00
91,21,350,7,2023-06-08 23:36:00
91,85,133,5,2024-05-31 16:14:00
92,26,185,3,2023-03-21 13:50:00
92,11,809,4,2023-04-09 06:16:00
92,61,326,8,2023-11-25 07:00:00
92,58,728,1,2023-12-13 07:48:00
92,16,771,1,2024-01-05 15:45:00
92,42,315,4,2024-02-01 21:53:00
92,2,253,3,2024-03-01 10:45:00
92,71,559,1,2024-03-17 14:24:00
92,21,713,8,2024-04-28 08:21:00
92,83,304,5,2024-10-16 04:13:00
92,28,658,9,2024-12-14 19:45:00
93,49,328,3,2023-02-14 21:06:00
93,37,647,4,2023-08-05 20:20:00
93,49,850,2,2023-10-23 14:06:00
94,53,562,3,2023-02-27 16:44:00
94,27,326,1,2023-08-24 19:57:00
94,15,171,8,2024-01-22 23:37:00
94,44,335,5,2024-06-22 17:22:00
94,76,476,1,2024-06-29 23:46:00
94,59,242,5,2024-10-10 20:53:00
95,62,545,1,2023-03-30 05:08:00
95,64,908,4,2023-08-01 12:31:00
95,89,853,3,2023-08-02 16:29:00
95,65,382,6,2023-09-03 20:36:00
95,73,30,8,2024-09-15 15:19:00
96,26,862,4,2023-01-23 00:27:00
96,34,183,10,2023-02-03 03:10:00
96,97,720,6,2023-04-11 09:36:00
96,77,145,7,2023-06-02 20:50:00
96,92,71,7,2023-07-08 08:29:00
96,12,70,7,2023-10-17 09:19:00
96,63,141,4,2023-10-19 01:53:00
96,84,283,5,2023-12-07 06:08:00
96,53,376,4,2024-04-20 07:02:00
96,98,744,6,2024-05-22 10:34:00
96,19,234,4,2024-10-07 11:51:00
96,54,256,6,2024-10-10 22:41:00
96,39,424,8,2024-10-31 23:45:00
97,73,991,10,2023-01-22 23:43:00
98,12,464,4,2023-06-09 19:05:00
98,12,213,7,2023-09-05 12:14:00
98,34,754,4,2024-02-02 23:23:00
98,5,277,5,2024-05-01 14:41:00
99,82,398,1,2023-02-08 03:35:00
99,38,677,5,2023-02-21 14:15:00
99,33,819,9,2023-03-03 11:08:00
99,93,189,7,2023-12-22 22:41:00
99,69,119,7,2024-12-13 04:17:00
100,27,27,6,2023-04-29 22:07:00
100,6,102,6,2023-06-10 20:40:00
100,66,294,9,2023-07-06 18:42:00
100,6,959,2,2023-11-01 02:32:00
100,93,440,3,2024-03-18 01:38:00
100,98,557,9,2024-09-16 01:07:00
100,16,337,9,2024-12-05 07:19:00
101,16,161,3,2023-01-12 23:31:00
101,41,484,2,2023-01-31 17:55:00
101,79,611,4,2023-03-18 16:41:00
101,81,774,7,2023-12-19 20:15:00
101,26,659,10,2024-03-03 23:53:00
101,45,225,4,2024-03-08 06:19:00
101,34,893,4,2024-04-27 18:53:00
101,76,563,5,2024-09-06 01:25:00
101,76,378,6,2024-11-22 09:50:00
101,71,552,2,2024-12-29 22:10:00
102,24,655,2,2023-08-20 02:11:00
102,76,143,7,2023-08-28 13:01:00
102,91,518,8,2023-09-14 05:36:00
102,70,616,5,2023-11-22 03:45:00
102,33,436,2,2024-02-06 09:56:00
102,94,418,6,2024-03-25 07:26:00
102,12,928,6,2024-09-27 22:43:00
103,46,439,7,2023-03-18 02:06:00
103,14,374,2,2023-05-13 03:36:00
103,83,439,3,2023-10-10 06:43:00
103,91,484,1,2023-11-04 06:17:00
103,49,365,9,2024-02-17 00:22:00
103,59,598,7,2024-05-26 04:24:00
103,33,488,7,2024-07-12 10:20:00
103,79,120,9,2024-07-13 01:50:00
103,18,255,9,2024-08-20 14:31:00
103,98,757,2,2024-10-12 01:13:00
103,25,524,10,2024-12-24 17:28:00
104,97,298,5,2023-05-13 04:03:00
104,27,32,7,2024-04-13 19:08:00
104,73,546,1,2024-08-11 13:46:00
104,76,663,7,2024-10-06 18:01:00
105,17,909,10,2023-02-06 07:31:00
105,76,440,7,2023-05-14 10:55:00
